"PERMENTAN NO.69 THN 2013 Ttg  PEDOMAN PENGUKURAN INDEK PENERAPAN BUDYA KERJA";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Peraturan Menteri/PERMENTAN NO.69 THN 2013 Ttg  PEDOMAN PENGUKURAN INDEK PENERAPAN BUDYA KERJA.pdf"
"PERMENTAN NO.78 THN 2012 Tntg PEDOMANPENYUSUNAN DAN PENETAPAN STANDAR PELALAYANNA PUBLIK";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Peraturan Menteri/PERMENTAN NO.78 THN 2012 Tntg PEDOMANPENYUSUNAN DAN PENETAPAN STANDAR PELALAYANNA PUBLIK.pdf"
"PERMENTAN NO.78 THN 2013 Tntg PEDOMAN PENGUKURAN IKM";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Peraturan Menteri/PERMENTAN NO.78 THN 2013 Tntg PEDOMAN PENGUKURAN IKM.pdf"
"Statistik Perkebunan Cengkeh";;;"Direktorat Jenderal Perkebunan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Statistik Perkebunan/Statistik Perkebunan Cengkeh.pdf"
"Statistik Perkebunan Karet";;;"Direktorat Jenderal Perkebunan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Statistik Perkebunan/Statistik Perkebunan Karet.pdf"
"Perkebunan Kelapa Sawit";;;"Direktorat Jenderal Perkebunan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Statistik Perkebunan/Statistik Perkebunan Kelapa Sawit.pdf"
"Statistik Perkebunan Tembakau.pdf";;;"Direktorat Jenderal Perkebunan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Statistik Perkebunan/Statistik Perkebunan Tembakau.pdf"
"Budidaya Jahe,kencur, Kunyit dan Temulawak";;;"Badan Penelitian Dan Pengembangan Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Budidaya/Budidaya Jahe,kencur, Kunyit dan Temulawak.pdf"
"Peraturan_Pemerintah_No 61_Thn_2010.pdf";;;"Sekretariat Jenderal";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Peraturan Menteri/Peraturan_Pemerintah_No 61_Thn_2010.pdf"
"Tanya Jawab Seputar UU Keterbukaan Informasi Publik";;;"Sekretariat Jenderal";2013;pdf;;;;;http://ppid.pertanian.go.id/doc/1/Undang-undang/Tanya_Jawab_UU_KIP.pdf
"Rening koran1.pdf";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Bahan RAKER PPID 2014/Rening koran1.pdf"
"Transparansi dan Akuntabel Situs K-L";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Bahan RAKER PPID 2014/PPPI_Transparansi dan Akuntabel Situs K-L.pdf"
"Keynote Speech Setjen Raker PPID 2014";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Bahan RAKER PPID 2014/Keynote Speech Setjen Raker PPID 2014.pdf"
"Renja 2014";"Seksi. Program";;"Bbpp Binuang";2014;pdf;;;;;http://bbpp-binuang.ppid.pertanian.go.id/doc/69/RENJA_2014.pdf
"Kebijakan Pengembangan TIK dan eGov Kementerian Pertanian";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Bahan RAKER PPID 2014/KaPusDatin_Kebijakan Pengembangan TIK dan eGov Kementerian Pertanian.pdf"
"Undang-Undang No.25 Thn 2009 Tntg Pelayanan Publik";"Negara RI";;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Undang-undang/Undang-Undang No.25 Thn 2009 Tntg Pelayanan Publik.pdf"
"UU 17 Thn 2013 di KEMENTAN 18 Juni 2014";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Bahan RAKER PPID 2014/Kemendagri_UU 17 Thn 2013 di KEMENTAN 18 Juni 2014.pdf"
"Peraturan Pemerintah RI_No_82_Tahun_2012";"BBIB Singosari";;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/peraturan Pemerintah/Peraturan Pemerintah RI_No_82_Tahun_2012.pdf"
"Kebijakan dan Arah Pengelolaan IP Lingkup Kementan";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Bahan RAKER PPID 2014/Karo HIP_Kebijakan dan Arah Pengelolaan IP Lingkup Kementan.pdf"
"35 Tahun Berkarya Untuk Petani.pdf";"Pusat Sosial Ekonomi dan Kebijakan Pertanian";;;2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/BPTP Lampung/Profil/35 Tahun Berkarya Untuk Petani.pdf"
"Buletin Analsis Perkembangan harga Komoditi Pertanian, Juni 2011";"Pusat Sosial Ekonomi dan Kebijakan Pertanian";;"Pusat Data Dan Sistem Informasi Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Buletin/Buletin Analisis Kebijakan Pertanian"
"Buletin Analisis Perkembangan Harga Komoditas Pertanian,  Februari 2013";"Pusat Data dan Sistem Informasi Pertanian";;"Pusat Data Dan Sistem Informasi Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Buletin/Buletin Analisis Perkembangan Harga Komoditas Pertanian"
"LAPORAN BULAN OKTOBER.pdf";"BBIB Singosari";;"Balai Besar Veteriner Denpasar";2014;pdf;;;;;"http://bbvet-dps.ppid.pertanian.go.id/doc/67/LAPORAN BULAN OKTOBER.pdf"
"Buletin triwulanan ekspor impor komoditas pertanian vol.5 no.1 2013";"Pusat Data dan Sistem Informasi Pertanian";;"Pusat Data Dan Sistem Informasi Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Buletin/Buletin triwulanan ekspor impor komoditas pertanian vol.5 no.1 2013"
"Pedoman pelaksanaan program kerja dan anggaran badan ketahanan pangan 2012";"Badan Ketahanan Pangan";;"Badan Ketahanan Pangan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Pedoman/Pedoman pelaksanaan program kerja dan anggaran badan ketahanan pangan 2012"
